Nguồn,Keyword theo sola/ntrust,Phân loại trong DB Locker,,Sửa lại phân loại trong DB Locker,
ntrust,fraud,Lừa đảo,,Giả mạo công an / dịch vụ công,
ntrust,spam,Nháy máy spam,,Lừa đảo đóng tiền điện nước,
sola,Bảo Hiểm,Bảo hiểm,,"Giả mạo, lừa đảo ngân hàng / tín dụng / chứng khoán",cho chọn thêm phân loại đơn vị giả mạo
,Bất Động Sản,Bất động sản,,Nháy máy spam,
,BDS,Bất động sản,,Giao hàng trực tuyến,
,Chứng Khoán,Tín dụng / chứng khoán,,Quảng cáo / trúng thưởng,
,CSKH,Dịch vụ / CSKH / Tổng đài,,Dịch vụ / CSKH / Tổng đài,thêm 3 phân loại này
,KD Dịch Vụ,Dịch vụ / CSKH / Tổng đài,,Bất động sản,
,công an,Giả mạo công an / dịch vụ công,,Bảo hiểm,
,cảnh sát,Giả mạo công an / dịch vụ công,,Lừa đảo,
,giả ca,Giả mạo công an / dịch vụ công,,,
,giả mạo ca,Giả mạo công an / dịch vụ công,,,
,Giả danh CA,Giả mạo công an / dịch vụ công,,,
,dien luc,Giả mạo điện nước,,,
,tien dien,Giả mạo điện nước,,,
,nước,Giả mạo điện nước,,,
,Ngân Hàng,"Giả mạo, lừa đảo ngân hàng / tín dụng / chứng khoán",,,
,Quảng Cáo,Quảng cáo / trúng thưởng,,,
,Quảng Cáo - Chan,Quảng cáo / trúng thưởng,,,
,cờ bạc,Quảng cáo / trúng thưởng,,,
,Điện Máy Xanh,Quảng cáo / trúng thưởng,,,
,du lịch,Quảng cáo / trúng thưởng,,,
,Quảng Cáo - Game,Quảng cáo / trúng thưởng,,,
,Làm Phiền,Quảng cáo / trúng thưởng,,,
,nghỉ dưỡng,Quảng cáo / trúng thưởng,,,
,nha khoa,Quảng cáo / trúng thưởng,,,
,spa ,Quảng cáo / trúng thưởng,,,
,Quảng Cáo - quang cao,Quảng cáo / trúng thưởng,,,
,Quảng Cáo - Rac,Quảng cáo / trúng thưởng,,,
,Quảng Cáo - Số Rác,Quảng cáo / trúng thưởng,,,
,tự động,Nháy máy spam,,,
,tín dụng,"Giả mạo, lừa đảo ngân hàng / tín dụng / chứng khoán",,"1 số trường hợp key có dạng: Quảng Cáo - Homecredit (thì expect check theo key sau dấu gạch trước, nếu không trùng thì check key trước dấu gạch)",
,Credit,"Giả mạo, lừa đảo ngân hàng / tín dụng / chứng khoán",,,
,tài chính,"Giả mạo, lừa đảo ngân hàng / tín dụng / chứng khoán",,,
,vay,"Giả mạo, lừa đảo ngân hàng / tín dụng / chứng khoán",,,
,đơn hàng,Giao hàng trực tuyến,,,
,shipper,Giao hàng trực tuyến,,,
,Tổng Đài,Dịch vụ / CSKH / Tổng đài,,,
,spam,Nháy máy spam,,,
,phiền,Nháy máy spam,,,
,các từ khóa còn lại,Lừa đảo,,,